mode    ,tcp_rtt                                                       ,tcp_hs     ,tcp_conn   ,quic_min_rtt                                                                                                                                                                                                                                                                                                   ,quic_smoothed_rtt                                                                                                                                                                                                                                                                                                  ,quic_hs    ,quic_conn
quicgo  ,[]                                                            ,[]         ,[0.0]      ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[0.038985] ,[0.07155]
http    ,"[0.025486, 0.025407, 0.025445, 0.025374]"                    ,[0.098821] ,[0.197414] ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[]         ,[]
http    ,"[0.025622, 0.025408, 0.025526, 0.02551, 0.025369, 0.025384]" ,[0.100852] ,[0.199546] ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[]         ,[]
http    ,"[0.025429, 0.025401, 0.02559, 0.025458]"                     ,[0.100666] ,[0.199234] ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[]         ,[]
aioquic ,[]                                                            ,[]         ,[0.0]      ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[0.059177] ,[0.127947]
quicgo  ,[]                                                            ,[]         ,[0.0]      ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[0.042182] ,[0.074724]
aioquic ,[]                                                            ,[]         ,[0.0]      ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[0.063853] ,[0.13358]
aioquic ,[]                                                            ,[]         ,[0.0]      ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[0.058849] ,[0.094173]
quicgo  ,[]                                                            ,[]         ,[0.0]      ,"[0.0, 0.04283882, 0.031182332, 0.0, 0.040172154, 0.031588513, 0.0, 0.0372918, 0.031408689, 0.05258933699224144, 0.03380789398215711, 0.05249059805646539, 0.03444535692688078, 0.03444535692688078, 0.03340673400089145, 0.052850530948489904, 0.0333226949442178, 0.03309737204108387, 0.03309737204108387]" ,"[0.0, 0.04283882, 0.041381, 0.0, 0.040172154, 0.039098999999999995, 0.0, 0.0372918, 0.036555, 0.05258933699224144, 0.0502416566159809, 0.05249059805646539, 0.05023494291526731, 0.048279580938469735, 0.04642047507127245, 0.052850530948489904, 0.05040955144795589, 0.04824552902209689, 0.04637179415431092]" ,[0.045373] ,[0.077451]
